,年积日,日积温,日太阳辐射,日平均风速,日平均湿度
2019/10/27,1.0,15.228333333333333,4635.47,2.7388125000000003,53.35520833333334
2019/10/28,2.0,17.87,3609.669,4.055020833333333,34.23041666666666
2019/10/29,3.0,14.341104166666668,4187.257,0.9803958333333332,53.17270833333333
2019/10/30,4.0,17.073125,4241.055,3.345916666666666,50.07541666666666
2019/10/31,5.0,17.337083333333336,4478.4220000000005,2.7215000000000003,45.5225
2019/11/1 ,6.0,16.253125,2322.139,0.930625,59.90604166666666
2019/11/2 ,7.0,16.629583333333333,3395.777,1.21075,61.25479166666667
2019/11/3 ,8.0,14.219999999999999,2921.817,1.5213750000000001,69.1725
2019/11/4 ,9.0,11.737916666666669,3284.0420000000004,0.7529374999999998,79.48270833333333
2019/11/5 ,10.0,12.9823125,3388.029,0.820875,77.81041666666667
2019/11/6 ,11.0,13.980624999999998,1886.353,0.4847083333333333,74.654375
2019/11/7 ,12.0,13.937708333333333,2228.063,2.110625,71.67666666666666
2019/11/8 ,13.0,10.846645833333334,2880.94,0.9480000000000001,81.209375
2019/11/9 ,14.0,12.850604166666665,2495.258,1.2173125,77.30458333333334
2019/11/10,15.0,15.371354166666668,3836.7690000000002,4.539687499999999,45.357499999999995
2019/11/11,16.0,14.351875,3590.986,1.322125,48.630625
2019/11/12,17.0,16.294208333333334,3105.8900000000003,2.0222083333333334,50.85125
2019/11/13,18.0,13.102979166666666,3968.5640000000003,3.93825,35.77458333333333
2019/11/14,19.0,9.522531914893616,3865.84,1.0578125,58.21458333333334
2019/11/15,20.0,9.543458333333334,3439.032,0.7271041666666668,63.993750000000006
2019/11/16,21.0,9.163604166666667,1534.732,1.6260416666666666,71.75708333333334
2019/11/17,22.0,10.118125,672.735,2.881416666666667,71.63104166666666
2019/11/18,23.0,6.675812499999999,3671.191,2.4681458333333333,36.77291666666667
2019/11/19,24.0,9.345212121212121,3413.201,1.0379166666666666,58.49895833333334
2019/11/20,25.0,7.069479166666667,2005.5359999999998,0.7867083333333333,63.82249999999999
2019/11/21,26.0,9.557729166666666,2979.929,0.73225,63.95104166666667
2019/11/22,27.0,9.484562500000001,2186.7290000000003,1.7587916666666665,77.9275
